split,row_start,col_start,intersecting_tells,labelled_tells,partial_unlabelled_tells,hidden_positive_tile,saved_to_dataset
train,0,0,1,1,0,False,True
train,0,384,3,3,0,False,True
train,0,768,3,3,0,False,True
train,0,1152,7,4,3,False,True
train,0,1536,12,10,2,False,True
train,0,1920,13,12,1,False,True
train,0,2304,13,12,1,False,True
train,0,2688,17,14,3,False,True
train,0,3072,10,9,1,False,True
train,0,3456,6,6,0,False,True
train,0,3840,10,7,3,False,True
train,0,4224,14,12,2,False,True
train,0,4608,3,2,1,False,True
train,0,4992,1,1,0,False,True
train,0,5376,0,0,0,False,True
train,0,5548,0,0,0,False,False
train,384,0,3,3,0,False,True
train,384,384,3,2,1,False,True
train,384,768,5,5,0,False,True
train,384,1152,5,5,0,False,True
train,384,1536,8,7,1,False,True
train,384,1920,7,7,0,False,True
train,384,2304,14,14,0,False,True
train,384,2688,8,8,0,False,True
train,384,3072,11,11,0,False,True
train,384,3456,11,11,0,False,True
train,384,3840,9,8,1,False,True
train,384,4224,7,5,2,False,True
train,384,4608,5,5,0,False,True
train,384,4992,2,2,0,False,True
train,384,5376,0,0,0,False,True
train,384,5548,0,0,0,False,False
train,768,0,4,4,0,False,True
train,768,384,7,7,0,False,True
train,768,768,3,3,0,False,True
train,768,1152,6,6,0,False,True
train,768,1536,5,5,0,False,True
train,768,1920,5,4,1,False,True
train,768,2304,7,7,0,False,True
train,768,2688,5,2,3,False,True
train,768,3072,7,5,2,False,True
train,768,3456,3,3,0,False,True
train,768,3840,0,0,0,False,True
train,768,4224,3,3,0,False,True
train,768,4608,2,2,0,False,True
train,768,4992,5,5,0,False,True
train,768,5376,6,5,1,False,True
train,768,5548,5,4,1,False,False
train,1152,0,8,6,2,False,True
train,1152,384,6,5,1,False,True
train,1152,768,8,7,1,False,True
train,1152,1152,12,12,0,False,True
train,1152,1536,6,5,1,False,True
train,1152,1920,10,9,1,False,True
train,1152,2304,10,7,3,False,True
train,1152,2688,11,8,3,False,True
train,1152,3072,7,6,1,False,True
train,1152,3456,7,7,0,False,True
train,1152,3840,2,1,1,False,True
train,1152,4224,4,4,0,False,True
train,1152,4608,6,4,2,False,True
train,1152,4992,6,5,1,False,True
train,1152,5376,6,6,0,False,True
train,1152,5548,7,6,1,False,False
train,1536,0,9,9,0,False,True
train,1536,384,10,9,1,False,True
train,1536,768,9,7,2,False,True
train,1536,1152,6,4,2,False,True
train,1536,1536,5,5,0,False,True
train,1536,1920,4,4,0,False,True
train,1536,2304,4,4,0,False,True
train,1536,2688,6,6,0,False,True
train,1536,3072,5,5,0,False,True
train,1536,3456,5,5,0,False,True
train,1536,3840,4,3,1,False,True
train,1536,4224,7,7,0,False,True
train,1536,4608,7,4,3,False,True
train,1536,4992,3,3,0,False,True
train,1536,5376,2,2,0,False,True
train,1536,5548,5,5,0,False,False
train,1920,0,4,4,0,False,True
train,1920,384,9,8,1,False,True
train,1920,768,12,11,1,False,True
train,1920,1152,3,3,0,False,True
train,1920,1536,2,2,0,False,True
train,1920,1920,6,5,1,False,True
train,1920,2304,4,4,0,False,True
train,1920,2688,3,3,0,False,True
train,1920,3072,5,3,2,False,True
train,1920,3456,4,3,1,False,True
train,1920,3840,2,2,0,False,True
train,1920,4224,3,3,0,False,True
train,1920,4608,5,5,0,False,True
train,1920,4992,4,3,1,False,True
train,1920,5376,2,1,1,False,True
train,1920,5548,4,3,1,False,False
train,2304,0,5,4,1,False,True
train,2304,384,9,6,3,False,True
train,2304,768,10,7,3,False,True
train,2304,1152,3,3,0,False,True
train,2304,1536,2,0,2,True,False
train,2304,1920,9,7,2,False,True
train,2304,2304,5,4,1,False,True
train,2304,2688,4,3,1,False,True
train,2304,3072,10,10,0,False,True
train,2304,3456,6,5,1,False,True
train,2304,3840,3,3,0,False,True
train,2304,4224,1,1,0,False,True
train,2304,4608,5,4,1,False,True
train,2304,4992,2,2,0,False,True
train,2304,5376,5,1,4,False,True
train,2304,5548,4,3,1,False,False
train,2688,0,6,5,1,False,True
train,2688,384,18,18,0,False,True
train,2688,768,5,5,0,False,True
train,2688,1152,0,0,0,False,True
train,2688,1536,5,5,0,False,True
train,2688,1920,15,14,1,False,True
train,2688,2304,7,6,1,False,True
train,2688,2688,8,5,3,False,True
train,2688,3072,3,3,0,False,True
train,2688,3456,5,4,1,False,True
train,2688,3840,6,5,1,False,True
train,2688,4224,10,9,1,False,True
train,2688,4608,6,6,0,False,True
train,2688,4992,6,5,1,False,True
train,2688,5376,8,5,3,False,True
train,2688,5548,5,5,0,False,False
train,3072,0,5,3,2,False,True
train,3072,384,7,6,1,False,True
train,3072,768,5,5,0,False,True
train,3072,1152,1,1,0,False,True
train,3072,1536,6,6,0,False,True
train,3072,1920,13,12,1,False,True
train,3072,2304,4,2,2,False,True
train,3072,2688,9,6,3,False,True
train,3072,3072,10,8,2,False,True
train,3072,3456,7,6,1,False,True
train,3072,3840,4,4,0,False,True
train,3072,4224,2,1,1,False,True
train,3072,4608,1,1,0,False,True
train,3072,4992,2,2,0,False,True
train,3072,5376,1,1,0,False,True
train,3072,5548,2,2,0,False,False
train,3456,0,0,0,0,False,True
train,3456,384,3,3,0,False,True
